price_section,241019SE,241021SE,241102SE,241104SE,241109SE,241111SE,241116SE,241118SE,241119SM,241130SE,241202SE,240118SE,240120SE,240125SE,240127SE,240201SE,240203SE,240215SE,240216SE,240229SE,240302SE,240314SE,240316SE,240404SE,240405SE,240411SE,240413SE,240418SE,240420SE,240425SE,240426SE,240502SE,240504SE,240516SE,240518SE,240530SE,240601SE,240606SE,240608SE,240613SE,240615SE,240616SM
Dress Circle,55.0,56.0,56.0,46.0,71.0,61.0,61.0,61.0,61.0,46.0,46.0,56.0,56.0,56.0,56.0,56.0,56.0,45.0,45.0,56.0,56.0,56.0,71.0,61.0,56.0,71.0,71.0,56.0,61.0,56.0,56.0,56.0,56.0,64.0,56.0,56.0,56.0,56.0,56.0,58.0,58.0,61.0
Front Balcony,37.0,37.0,37.0,37.0,37.0,37.0,43.0,37.0,43.0,36.0,28.0,38.0,38.0,38.0,38.0,43.0,29.6,37.0,38.0,38.0,37.0,38.0,48.0,43.0,38.0,53.0,53.0,38.0,43.0,38.0,38.0,39.0,38.0,38.0,38.0,38.0,38.0,36.0,38.0,40.0,40.0,43.0
Front Loge,20.0,110.0,110.0,111.0,136.0,136.0,116.0,123.0,116.0,101.0,101.0,111.0,111.0,111.0,111.0,116.0,88.0,111.0,111.0,111.0,110.0,111.0,111.0,116.0,111.0,126.0,126.0,116.0,109.0,111.0,111.0,111.0,111.0,20.0,116.0,111.0,111.0,111.0,111.0,109.0,123.0,116.0
Front Orchestra,32.0,32.0,39.0,32.0,58.0,65.0,38.0,32.0,32.0,18.0,18.0,33.0,33.0,37.0,33.0,38.0,70.0,33.0,33.0,33.0,33.0,31.0,33.0,42.0,33.0,31.0,32.0,38.0,43.0,38.0,38.0,33.0,38.0,43.0,33.0,42.0,33.0,33.0,33.0,45.0,45.0,38.0
Main Orchestra,55.0,55.0,55.0,46.0,55.0,55.0,61.0,61.0,61.0,46.0,46.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,61.0,56.0,71.0,66.0,61.0,61.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,60.0,58.0,63.0
Middle Loge,77.0,77.0,78.0,78.0,93.0,77.0,83.0,83.0,83.0,68.0,68.0,78.0,78.0,78.0,78.0,78.0,61.6,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,93.0,93.0,78.0,83.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,80.0,80.0,83.0
Middle Orchestra,78.0,78.0,78.0,78.0,93.0,77.0,83.0,83.0,83.0,76.0,68.0,78.0,78.0,78.0,78.0,83.0,78.0,78.0,78.0,78.0,78.0,78.0,88.0,83.0,78.0,93.0,93.0,83.0,83.0,78.0,78.0,78.0,78.0,78.0,78.0,76.0,78.0,78.0,78.0,80.0,80.0,85.0
Premium Orchestra,110.0,110.0,20.0,101.0,119.0,126.0,116.0,110.0,116.0,110.0,101.0,111.0,111.0,111.0,111.0,116.0,88.0,111.0,111.0,111.0,111.0,111.0,116.0,116.0,111.0,126.0,121.0,110.0,121.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,110.0,113.0,116.0
Rear Balcony,25.0,25.0,25.0,26.0,31.0,31.0,31.0,31.0,31.0,24.0,16.0,26.0,26.0,26.0,26.0,31.0,26.0,,26.0,26.0,26.0,26.0,26.0,31.0,26.0,41.0,41.0,26.0,31.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0,26.0,28.0,28.0,31.0
Rear Orchestra,44.0,44.0,35.0,35.0,44.0,60.0,50.0,50.0,50.0,30.0,30.0,45.0,45.0,45.0,45.0,50.0,35.2,45.0,45.0,45.0,45.0,45.0,45.0,50.0,45.0,60.0,60.0,45.0,50.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,49.0,49.0,52.0
