price_section,241005SE,241007SE,240222SE,240224SE,240225SM,240321SE,240322SE,240323SE,240324SM,240509SE,240511SE
Dress Circle,65.76,65.82608695652173,70.6,69.51612903225806,68.63636363636364,69.55882352941177,68.94594594594595,69.21153846153847,67.72916666666667,68.8,69.08888888888889
Front Balcony,49.93181818181818,50.266666666666666,51.88235294117647,49.88135593220339,51.48888888888889,51.06666666666667,50.92307692307692,54.554545454545455,51.770833333333336,50.81818181818182,51.25454545454546
Front Loge,120.8076923076923,112.75,128.64705882352942,129.34375,131.22222222222223,129.33962264150944,125.375,131.13953488372093,127.51020408163265,114.76923076923077,124.44166666666666
Front Orchestra,60.5625,46.470588235294116,52.083333333333336,50.4375,51.214285714285715,54.5,49.57258064516129,53.57575757575758,56.338235294117645,54.09090909090909,54.84615384615385
Main Orchestra,65.14388489208633,69.0,68.1875,68.41538461538461,70.16935483870968,68.79591836734694,68.35398230088495,69.65024630541872,69.7605633802817,66.48529411764706,69.54285714285714
Middle Loge,64.375,91.0,92.0,92.0,90.12121212121212,91.84615384615384,92.33333333333333,94.50847457627118,92.74418604651163,84.9090909090909,91.23076923076923
Middle Orchestra,90.83333333333333,85.92857142857143,93.9,92.0,91.6923076923077,91.76923076923077,68.0,95.93548387096774,91.35897435897436,92.38888888888889,89.41666666666667
Premium Orchestra,65.2,84.43181818181819,125.53658536585365,125.95121951219512,127.2,126.1063829787234,106.04761904761905,127.3076923076923,120.93125,85.4,127.26530612244898
Rear Balcony,38.77777777777778,38.12173913043478,39.275862068965516,39.123456790123456,39.17777777777778,39.37837837837838,39.0,41.03125,39.7027027027027,38.86666666666667,39.622950819672134
Rear Orchestra,56.65217391304348,56.96923076923077,58.02564102564103,56.763888888888886,55.3768115942029,57.55,57.23456790123457,59.4635761589404,57.05263157894737,57.13953488372093,57.4
